season,gameid,gamedate,hometeamcity,hometeamname,awayteamcity,awayteamname,status_text,played
2025-2026,0012500008,2025-10-02,New York,Knicks,Philadelphia,76ers,Final,True
2025-2026,0012500001,2025-10-03,Los Angeles,Lakers,Phoenix,Suns,Final,True
2025-2026,0012500009,2025-10-03,New Orleans,Pelicans,Melbourne,United,Final               ,False
2025-2026,0012500010,2025-10-04,Philadelphia,76ers,New York,Knicks,Final,True
2025-2026,0012500011,2025-10-04,New Orleans,Pelicans,South East Melbourne,Phoenix,Final               ,False
2025-2026,0012500026,2025-10-04,Brooklyn,Nets,Hapoel,Jerusalem B.C.,Final               ,False
2025-2026,0012500027,2025-10-04,Miami,Heat,Orlando,Magic,Final,True
2025-2026,0012500028,2025-10-04,Denver,Nuggets,Minnesota,Timberwolves,Final,True
2025-2026,0012500030,2025-10-05,San Francisco,Warriors,Los Angeles,Lakers,Final,True
2025-2026,0012500029,2025-10-05,Charlotte,Hornets,Oklahoma City,Thunder,Final,True
2025-2026,0012500002,2025-10-06,Miami,Heat,Milwaukee,Bucks,Final,True
2025-2026,0012500014,2025-10-06,Houston,Rockets,Atlanta,Hawks,Final,True
2025-2026,0012500031,2025-10-06,Memphis,Grizzlies,Detroit,Pistons,Final,True
2025-2026,0012500032,2025-10-06,San Antonio,Spurs,Guangzhou,Loong-Lions,Final,True
2025-2026,0012500033,2025-10-06,Dallas,Mavericks,Oklahoma City,Thunder,Final,True
2025-2026,0012500034,2025-10-06,Toronto,Raptors,Denver,Nuggets,Final,True
2025-2026,0012500035,2025-10-07,Cleveland,Cavaliers,Chicago,Bulls,Final,True
2025-2026,0012500036,2025-10-07,Minnesota,Timberwolves,Indiana,Pacers,Final/OT,False
2025-2026,0012500038,2025-10-08,Memphis,Grizzlies,Boston,Celtics,Final,True
2025-2026,0012500037,2025-10-08,Houston,Rockets,Utah,Jazz,Final,True
2025-2026,0012500015,2025-10-08,San Francisco,Warriors,Portland,Trail Blazers,Final,True
2025-2026,0012500003,2025-10-08,Miami,Heat,San Antonio,Spurs,Final,True
2025-2026,0012500016,2025-10-08,Sacramento,Kings,Toronto,Raptors,Final,True
2025-2026,0012500039,2025-10-09,New York,Knicks,Minnesota,Timberwolves,Final/OT,False
2025-2026,0012500040,2025-10-09,Chicago,Bulls,Cleveland,Cavaliers,Final,True
2025-2026,0012500041,2025-10-09,Milwaukee,Bucks,Detroit,Pistons,Final,True
2025-2026,0012500042,2025-10-09,Oklahoma City,Thunder,Charlotte,Hornets,Final,True
2025-2026,0012500043,2025-10-09,LA,Clippers,Guangzhou,Loong-Lions,Final,True
2025-2026,0012500017,2025-10-10,Portland,Trail Blazers,Sacramento,Kings,Final,True
2025-2026,0012500012,2025-10-10,Brooklyn,Nets,Phoenix,Suns,Final/OT,False
2025-2026,0012500044,2025-10-10,Toronto,Raptors,Boston,Celtics,Final,True
2025-2026,0012500045,2025-10-10,San Antonio,Spurs,Utah,Jazz,Final/OT,False
2025-2026,0012500070,2025-10-10,Philadelphia,76ers,Orlando,Magic,Final,True
2025-2026,0012500018,2025-10-11,Memphis,Grizzlies,Atlanta,Hawks,Final,True
2025-2026,0012500046,2025-10-11,Indiana,Pacers,Oklahoma City,Thunder,Final,True
2025-2026,0012500047,2025-10-11,Dallas,Mavericks,Charlotte,Hornets,Final,True
2025-2026,0012500051,2025-10-12,Chicago,Bulls,Milwaukee,Bucks,Final,True
2025-2026,0012500052,2025-10-12,LA,Clippers,Denver,Nuggets,Final,True
2025-2026,0012500050,2025-10-12,Boston,Celtics,Cleveland,Cavaliers,Final,True
2025-2026,0012500048,2025-10-12,Washington,Wizards,Toronto,Raptors,Final,True
2025-2026,0012500013,2025-10-12,Phoenix,Suns,Brooklyn,Nets,Final,True
2025-2026,0012500004,2025-10-12,Los Angeles,Lakers,San Francisco,Warriors,Final,True
2025-2026,0012500049,2025-10-12,Orlando,Magic,Miami,Heat,Final,True
2025-2026,0012500019,2025-10-13,Atlanta,Hawks,Miami,Heat,Final/OT,False
2025-2026,0012500053,2025-10-13,Indiana,Pacers,San Antonio,Spurs,Final,True
2025-2026,0012500054,2025-10-13,New York,Knicks,Washington,Wizards,Final,True
2025-2026,0012500055,2025-10-13,Minnesota,Timberwolves,Guangzhou,Loong-Lions,Final,True
2025-2026,0012500056,2025-10-13,Utah,Jazz,Dallas,Mavericks,Final,True
2025-2026,0012500021,2025-10-14,Portland,Trail Blazers,San Francisco,Warriors,Final,True
2025-2026,0012500020,2025-10-14,New Orleans,Pelicans,Houston,Rockets,Final,True
2025-2026,0012500057,2025-10-14,Cleveland,Cavaliers,Detroit,Pistons,Final,True
2025-2026,0012500058,2025-10-14,Milwaukee,Bucks,Oklahoma City,Thunder,Final,True
2025-2026,0012500059,2025-10-14,Denver,Nuggets,Chicago,Bulls,Final,True
2025-2026,0012500060,2025-10-14,Phoenix,Suns,Los Angeles,Lakers,Final,True
2025-2026,0012500062,2025-10-15,Boston,Celtics,Toronto,Raptors,Final,True
2025-2026,0012500061,2025-10-15,Charlotte,Hornets,Memphis,Grizzlies,Final,True
2025-2026,0012500005,2025-10-15,Los Angeles,Lakers,Dallas,Mavericks,Final,True
2025-2026,0012500022,2025-10-15,Sacramento,Kings,LA,Clippers,Final,True
2025-2026,0012500064,2025-10-16,Chicago,Bulls,Minnesota,Timberwolves,Final,True
2025-2026,0012500063,2025-10-16,Detroit,Pistons,Washington,Wizards,Final,True
2025-2026,0012500023,2025-10-16,Orlando,Magic,New Orleans,Pelicans,Final,True
2025-2026,0012500024,2025-10-16,Atlanta,Hawks,Houston,Rockets,Final,True
2025-2026,0012500025,2025-10-16,Utah,Jazz,Portland,Trail Blazers,Final,True
2025-2026,0012500006,2025-10-17,Miami,Heat,Memphis,Grizzlies,Final,True
2025-2026,0012500007,2025-10-17,Los Angeles,Lakers,Sacramento,Kings,Final,True
2025-2026,0012500065,2025-10-17,Toronto,Raptors,Brooklyn,Nets,Final,True
2025-2026,0012500066,2025-10-17,New York,Knicks,Charlotte,Hornets,Final,True
2025-2026,0012500067,2025-10-17,Oklahoma City,Thunder,Denver,Nuggets,Final,True
2025-2026,0012500068,2025-10-17,San Antonio,Spurs,Indiana,Pacers,Final,True
2025-2026,0012500069,2025-10-17,San Francisco,Warriors,LA,Clippers,Final,True
2025-2026,0012500071,2025-10-17,Philadelphia,76ers,Minnesota,Timberwolves,Final,True
2025-2026,0022500002,2025-10-21,Los Angeles,Lakers,San Francisco,Warriors,Final,True
2025-2026,0022500001,2025-10-21,Oklahoma City,Thunder,Houston,Rockets,Final/OT2,False
2025-2026,0022500087,2025-10-22,Utah,Jazz,LA,Clippers,Final,True
2025-2026,0022500086,2025-10-22,Milwaukee,Bucks,Washington,Wizards,Final,True
2025-2026,0022500089,2025-10-22,Portland,Trail Blazers,Minnesota,Timberwolves,Final,True
2025-2026,0022500088,2025-10-22,Phoenix,Suns,Sacramento,Kings,Final,True
2025-2026,0022500084,2025-10-22,Chicago,Bulls,Detroit,Pistons,Final,True
2025-2026,0022500085,2025-10-22,Memphis,Grizzlies,New Orleans,Pelicans,Final,True
2025-2026,0022500082,2025-10-22,Atlanta,Hawks,Toronto,Raptors,Final,True
2025-2026,0022500083,2025-10-22,Boston,Celtics,Philadelphia,76ers,Final,True
2025-2026,0022500081,2025-10-22,Orlando,Magic,Miami,Heat,Final,True
2025-2026,0022500080,2025-10-22,Charlotte,Hornets,Brooklyn,Nets,Final,True
2025-2026,0022500004,2025-10-22,Dallas,Mavericks,San Antonio,Spurs,Final,True
2025-2026,0022500003,2025-10-22,New York,Knicks,Cleveland,Cavaliers,Final,True
2025-2026,0022500005,2025-10-23,Indiana,Pacers,Oklahoma City,Thunder,Final/OT2,False
2025-2026,0022500006,2025-10-23,San Francisco,Warriors,Denver,Nuggets,Final/OT,False
2025-2026,0022500098,2025-10-24,Sacramento,Kings,Utah,Jazz,Final,True
2025-2026,0022500097,2025-10-24,Portland,Trail Blazers,San Francisco,Warriors,Final,True
2025-2026,0022500096,2025-10-24,Dallas,Mavericks,Washington,Wizards,Final,True
2025-2026,0022500095,2025-10-24,New Orleans,Pelicans,San Antonio,Spurs,Final/OT,False
2025-2026,0022500094,2025-10-24,Memphis,Grizzlies,Miami,Heat,Final,True
2025-2026,0022500099,2025-10-24,LA,Clippers,Phoenix,Suns,Final,True
2025-2026,0022500092,2025-10-24,Toronto,Raptors,Milwaukee,Bucks,Final,True
2025-2026,0022500091,2025-10-24,Brooklyn,Nets,Cleveland,Cavaliers,Final,True
2025-2026,0022500090,2025-10-24,Orlando,Magic,Atlanta,Hawks,Final,True
2025-2026,0022500019,2025-10-24,Los Angeles,Lakers,Minnesota,Timberwolves,Final,True
2025-2026,0022500018,2025-10-24,New York,Knicks,Boston,Celtics,Final,True
2025-2026,0022500093,2025-10-24,Houston,Rockets,Detroit,Pistons,Final,True
2025-2026,0022500100,2025-10-25,Orlando,Magic,Chicago,Bulls,Final,True
2025-2026,0022500101,2025-10-25,Atlanta,Hawks,Oklahoma City,Thunder,Final,True
2025-2026,0022500102,2025-10-25,Philadelphia,76ers,Charlotte,Hornets,Final,True
2025-2026,0022500103,2025-10-25,Memphis,Grizzlies,Indiana,Pacers,Final,True
2025-2026,0022500104,2025-10-25,Denver,Nuggets,Phoenix,Suns,Final,True
2025-2026,0022500113,2025-10-26,Sacramento,Kings,Los Angeles,Lakers,Final,True
2025-2026,0022500112,2025-10-26,LA,Clippers,Portland,Trail Blazers,Final,True
2025-2026,0022500111,2025-10-26,Dallas,Mavericks,Toronto,Raptors,Final,True
2025-2026,0022500110,2025-10-26,Minnesota,Timberwolves,Indiana,Pacers,Final,True
2025-2026,0022500106,2025-10-26,Detroit,Pistons,Boston,Celtics,Final,True
2025-2026,0022500108,2025-10-26,Miami,Heat,New York,Knicks,Final,True
2025-2026,0022500107,2025-10-26,Cleveland,Cavaliers,Milwaukee,Bucks,Final,True
2025-2026,0022500105,2025-10-26,San Antonio,Spurs,Brooklyn,Nets,Final,True
2025-2026,0022500109,2025-10-26,Washington,Wizards,Charlotte,Hornets,Final,True
2025-2026,0022500122,2025-10-27,Los Angeles,Lakers,Portland,Trail Blazers,Final,True
2025-2026,0022500121,2025-10-27,San Francisco,Warriors,Memphis,Grizzlies,Final,True
2025-2026,0022500120,2025-10-27,Utah,Jazz,Phoenix,Suns,Final/OT,False
2025-2026,0022500119,2025-10-27,Dallas,Mavericks,Oklahoma City,Thunder,Final,True
2025-2026,0022500117,2025-10-27,New Orleans,Pelicans,Boston,Celtics,Final,True
2025-2026,0022500118,2025-10-27,San Antonio,Spurs,Toronto,Raptors,Final,True
2025-2026,0022500115,2025-10-27,Chicago,Bulls,Atlanta,Hawks,Final,True
2025-2026,0022500114,2025-10-27,Philadelphia,76ers,Orlando,Magic,Final,True
2025-2026,0022500008,2025-10-27,Minnesota,Timberwolves,Denver,Nuggets,Final,True
2025-2026,0022500007,2025-10-27,Detroit,Pistons,Cleveland,Cavaliers,Final,True
2025-2026,0022500116,2025-10-27,Houston,Rockets,Brooklyn,Nets,Final,True
2025-2026,0022500123,2025-10-28,Washington,Wizards,Philadelphia,76ers,Final/OT,False
2025-2026,0022500124,2025-10-28,Miami,Heat,Charlotte,Hornets,Final,True
2025-2026,0022500125,2025-10-28,Milwaukee,Bucks,New York,Knicks,Final,True
2025-2026,0022500126,2025-10-28,Oklahoma City,Thunder,Sacramento,Kings,Final,True
2025-2026,0022500127,2025-10-28,San Francisco,Warriors,LA,Clippers,Final,True
2025-2026,0022500137,2025-10-29,Phoenix,Suns,Memphis,Grizzlies,Final,True
2025-2026,0022500136,2025-10-29,Minnesota,Timberwolves,Los Angeles,Lakers,Final,True
2025-2026,0022500135,2025-10-29,Utah,Jazz,Portland,Trail Blazers,Final,True
2025-2026,0022500134,2025-10-29,Denver,Nuggets,New Orleans,Pelicans,Final,True
2025-2026,0022500133,2025-10-29,Dallas,Mavericks,Indiana,Pacers,Final,True
2025-2026,0022500128,2025-10-29,Boston,Celtics,Cleveland,Cavaliers,Final,True
2025-2026,0022500131,2025-10-29,Toronto,Raptors,Houston,Rockets,Final,True
2025-2026,0022500130,2025-10-29,Brooklyn,Nets,Atlanta,Hawks,Final,True
2025-2026,0022500129,2025-10-29,Detroit,Pistons,Orlando,Magic,Final,True
2025-2026,0022500132,2025-10-29,Chicago,Bulls,Sacramento,Kings,Final,True
2025-2026,0022500141,2025-10-30,San Antonio,Spurs,Miami,Heat,Final,True
2025-2026,0022500140,2025-10-30,Oklahoma City,Thunder,Washington,Wizards,Final,True
2025-2026,0022500138,2025-10-30,Charlotte,Hornets,Orlando,Magic,Final,True
2025-2026,0022500139,2025-10-30,Milwaukee,Bucks,San Francisco,Warriors,Final,True
2025-2026,0022500020,2025-10-31,Indiana,Pacers,Atlanta,Hawks,Final,True
2025-2026,0022500021,2025-10-31,Philadelphia,76ers,Boston,Celtics,Final,True
2025-2026,0022500022,2025-10-31,Cleveland,Cavaliers,Toronto,Raptors,Final,True
2025-2026,0022500023,2025-10-31,Chicago,Bulls,New York,Knicks,Final,True
2025-2026,0022500024,2025-10-31,Memphis,Grizzlies,Los Angeles,Lakers,Final,True
2025-2026,0022500025,2025-10-31,Phoenix,Suns,Utah,Jazz,Final,True
2025-2026,0022500026,2025-10-31,Portland,Trail Blazers,Denver,Nuggets,Final,True
2025-2026,0022500027,2025-10-31,LA,Clippers,New Orleans,Pelicans,Final,True
2025-2026,0022500142,2025-11-01,Milwaukee,Bucks,Sacramento,Kings,Final,True
2025-2026,0022500143,2025-11-01,Charlotte,Hornets,Minnesota,Timberwolves,Final,True
2025-2026,0022500144,2025-11-01,Indiana,Pacers,San Francisco,Warriors,Final,True
2025-2026,0022500145,2025-11-01,Washington,Wizards,Orlando,Magic,Final,True
2025-2026,0022500146,2025-11-01,Boston,Celtics,Houston,Rockets,Final,True
2025-2026,0022500147,2025-11-01,Detroit,Pistons,Dallas,Mavericks,Final,True
2025-2026,0022500154,2025-11-02,Phoenix,Suns,San Antonio,Spurs,Final,True
2025-2026,0022500153,2025-11-02,New York,Knicks,Chicago,Bulls,Final,True
2025-2026,0022500155,2025-11-02,Los Angeles,Lakers,Miami,Heat,Final,True
2025-2026,0022500152,2025-11-02,Toronto,Raptors,Memphis,Grizzlies,Final,True
2025-2026,0022500148,2025-11-02,Oklahoma City,Thunder,New Orleans,Pelicans,Final,True
2025-2026,0022500150,2025-11-02,Charlotte,Hornets,Utah,Jazz,Final,True
2025-2026,0022500151,2025-11-02,Cleveland,Cavaliers,Atlanta,Hawks,Final,True
2025-2026,0022500149,2025-11-02,Brooklyn,Nets,Philadelphia,76ers,Final,True
2025-2026,0022500156,2025-11-03,Brooklyn,Nets,Minnesota,Timberwolves,Final,True
2025-2026,0022500157,2025-11-03,Indiana,Pacers,Milwaukee,Bucks,Final,True
2025-2026,0022500158,2025-11-03,Boston,Celtics,Utah,Jazz,Final,True
2025-2026,0022500159,2025-11-03,New York,Knicks,Washington,Wizards,Final,True
2025-2026,0022500160,2025-11-03,Houston,Rockets,Dallas,Mavericks,Final,True
2025-2026,0022500161,2025-11-03,Memphis,Grizzlies,Detroit,Pistons,Final,True
2025-2026,0022500162,2025-11-03,Denver,Nuggets,Sacramento,Kings,Final,True
2025-2026,0022500163,2025-11-03,Portland,Trail Blazers,Los Angeles,Lakers,Final,True
2025-2026,0022500164,2025-11-03,LA,Clippers,Miami,Heat,Final,True
2025-2026,0022500170,2025-11-04,LA,Clippers,Oklahoma City,Thunder,Final,True
2025-2026,0022500168,2025-11-04,New Orleans,Pelicans,Charlotte,Hornets,Final,True
2025-2026,0022500169,2025-11-04,San Francisco,Warriors,Phoenix,Suns,Final,True
2025-2026,0022500166,2025-11-04,Atlanta,Hawks,Orlando,Magic,Final,True
2025-2026,0022500165,2025-11-04,Toronto,Raptors,Milwaukee,Bucks,Final,True
2025-2026,0022500167,2025-11-04,Chicago,Bulls,Philadelphia,76ers,Final,True
2025-2026,0022500172,2025-11-05,Detroit,Pistons,Utah,Jazz,Final,True
2025-2026,0022500173,2025-11-05,Indiana,Pacers,Brooklyn,Nets,Final,True
2025-2026,0022500174,2025-11-05,Boston,Celtics,Washington,Wizards,Final,True
2025-2026,0022500175,2025-11-05,New York,Knicks,Minnesota,Timberwolves,Final,True
2025-2026,0022500176,2025-11-05,Memphis,Grizzlies,Houston,Rockets,Final,True
2025-2026,0022500177,2025-11-05,Dallas,Mavericks,New Orleans,Pelicans,Final,True
2025-2026,0022500178,2025-11-05,Denver,Nuggets,Miami,Heat,Final,True
2025-2026,0022500179,2025-11-05,Los Angeles,Lakers,San Antonio,Spurs,Final,True
2025-2026,0022500180,2025-11-05,Portland,Trail Blazers,Oklahoma City,Thunder,Final,True
2025-2026,0022500181,2025-11-05,Sacramento,Kings,San Francisco,Warriors,Final,True
2025-2026,0022500171,2025-11-05,Cleveland,Cavaliers,Philadelphia,76ers,Final,True
2025-2026,0022500182,2025-11-06,Phoenix,Suns,LA,Clippers,Final,True
2025-2026,0022500035,2025-11-07,Milwaukee,Bucks,Chicago,Bulls,Final,True
2025-2026,0022500037,2025-11-07,Denver,Nuggets,San Francisco,Warriors,Final,True
2025-2026,0022500034,2025-11-07,Memphis,Grizzlies,Dallas,Mavericks,Final,True
2025-2026,0022500038,2025-11-07,Sacramento,Kings,Oklahoma City,Thunder,Final,True
2025-2026,0022500033,2025-11-07,Miami,Heat,Charlotte,Hornets,Final,True
2025-2026,0022500036,2025-11-07,Minnesota,Timberwolves,Utah,Jazz,Final,True
2025-2026,0022500031,2025-11-07,Brooklyn,Nets,Detroit,Pistons,Final,True
2025-2026,0022500030,2025-11-07,Atlanta,Hawks,Toronto,Raptors,Final,True
2025-2026,0022500032,2025-11-07,San Antonio,Spurs,Houston,Rockets,Final,True
2025-2026,0022500029,2025-11-07,Washington,Wizards,Cleveland,Cavaliers,Final,True
2025-2026,0022500028,2025-11-07,Orlando,Magic,Boston,Celtics,Final,True
2025-2026,0022500190,2025-11-08,LA,Clippers,Phoenix,Suns,Final,True
2025-2026,0022500188,2025-11-08,San Antonio,Spurs,New Orleans,Pelicans,Final,True
2025-2026,0022500187,2025-11-08,Miami,Heat,Portland,Trail Blazers,Final,True
2025-2026,0022500189,2025-11-08,Denver,Nuggets,Indiana,Pacers,Final,True
2025-2026,0022500185,2025-11-08,Atlanta,Hawks,Los Angeles,Lakers,Final,True
2025-2026,0022500184,2025-11-08,Philadelphia,76ers,Toronto,Raptors,Final,True
2025-2026,0022500183,2025-11-08,Washington,Wizards,Dallas,Mavericks,Final,True
2025-2026,0022500186,2025-11-08,Cleveland,Cavaliers,Chicago,Bulls,Final,True
2025-2026,0022500191,2025-11-09,Milwaukee,Bucks,Houston,Rockets,Final,True
2025-2026,0022500192,2025-11-09,New York,Knicks,Brooklyn,Nets,Final,True
2025-2026,0022500193,2025-11-09,Orlando,Magic,Boston,Celtics,Final,True
2025-2026,0022500194,2025-11-09,Memphis,Grizzlies,Oklahoma City,Thunder,Final,True
2025-2026,0022500195,2025-11-09,Philadelphia,76ers,Detroit,Pistons,Final,True
2025-2026,0022500196,2025-11-09,San Francisco,Warriors,Indiana,Pacers,Final,True
2025-2026,0022500197,2025-11-09,Sacramento,Kings,Minnesota,Timberwolves,Final,True
2025-2026,0022500204,2025-11-10,Phoenix,Suns,New Orleans,Pelicans,Final,True
2025-2026,0022500206,2025-11-10,LA,Clippers,Atlanta,Hawks,Final,True
2025-2026,0022500205,2025-11-10,Utah,Jazz,Minnesota,Timberwolves,Final,True
2025-2026,0022500203,2025-11-10,Dallas,Mavericks,Milwaukee,Bucks,Final,True
2025-2026,0022500198,2025-11-10,Charlotte,Hornets,Los Angeles,Lakers,Final,True
2025-2026,0022500201,2025-11-10,Miami,Heat,Cleveland,Cavaliers,Final/OT,False
2025-2026,0022500200,2025-11-10,Orlando,Magic,Portland,Trail Blazers,Final,True
2025-2026,0022500199,2025-11-10,Detroit,Pistons,Washington,Wizards,Final/OT,False
2025-2026,0022500202,2025-11-10,Chicago,Bulls,San Antonio,Spurs,Final,True
2025-2026,0022500207,2025-11-11,Brooklyn,Nets,Toronto,Raptors,7:30 pm ET,False
2025-2026,0022500208,2025-11-11,New York,Knicks,Memphis,Grizzlies,7:30 pm ET,False
2025-2026,0022500209,2025-11-11,Philadelphia,76ers,Boston,Celtics,8:00 pm ET,False
2025-2026,0022500210,2025-11-11,Oklahoma City,Thunder,San Francisco,Warriors,8:00 pm ET,False
2025-2026,0022500211,2025-11-11,Utah,Jazz,Indiana,Pacers,9:00 pm ET,False
2025-2026,0022500212,2025-11-11,Sacramento,Kings,Denver,Nuggets,11:00 pm ET,False
2025-2026,0022500219,2025-11-12,New Orleans,Pelicans,Portland,Trail Blazers,8:00 pm ET,False
2025-2026,0022500223,2025-11-12,Sacramento,Kings,Atlanta,Hawks,10:00 pm ET,False
2025-2026,0022500222,2025-11-12,Oklahoma City,Thunder,Los Angeles,Lakers,9:30 pm ET,False
2025-2026,0022500221,2025-11-12,Dallas,Mavericks,Phoenix,Suns,8:30 pm ET,False
2025-2026,0022500220,2025-11-12,San Antonio,Spurs,San Francisco,Warriors,8:00 pm ET,False
2025-2026,0022500224,2025-11-12,LA,Clippers,Denver,Nuggets,10:30 pm ET,False
2025-2026,0022500218,2025-11-12,Houston,Rockets,Washington,Wizards,8:00 pm ET,False
2025-2026,0022500216,2025-11-12,Boston,Celtics,Memphis,Grizzlies,7:30 pm ET,False
2025-2026,0022500215,2025-11-12,New York,Knicks,Orlando,Magic,7:00 pm ET,False
2025-2026,0022500214,2025-11-12,Detroit,Pistons,Chicago,Bulls,7:00 pm ET,False
2025-2026,0022500213,2025-11-12,Charlotte,Hornets,Milwaukee,Bucks,7:00 pm ET,False
2025-2026,0022500217,2025-11-12,Miami,Heat,Cleveland,Cavaliers,7:30 pm ET,False
2025-2026,0022500225,2025-11-13,Cleveland,Cavaliers,Toronto,Raptors,7:00 pm ET,False
2025-2026,0022500226,2025-11-13,Phoenix,Suns,Indiana,Pacers,9:00 pm ET,False
2025-2026,0022500227,2025-11-13,Utah,Jazz,Atlanta,Hawks,9:00 pm ET,False
2025-2026,0022500046,2025-11-14,Dallas,Mavericks,LA,Clippers,8:30 pm ET,False
2025-2026,0022500045,2025-11-14,New Orleans,Pelicans,Los Angeles,Lakers,8:00 pm ET,False
2025-2026,0022500044,2025-11-14,Minnesota,Timberwolves,Sacramento,Kings,8:00 pm ET,False
2025-2026,0022500043,2025-11-14,Milwaukee,Bucks,Charlotte,Hornets,8:00 pm ET,False
2025-2026,0022500047,2025-11-14,San Antonio,Spurs,San Francisco,Warriors,9:30 pm ET,False
2025-2026,0022500041,2025-11-14,Detroit,Pistons,Philadelphia,76ers,7:30 pm ET,False
2025-2026,0022500040,2025-11-14,Orlando,Magic,Brooklyn,Nets,7:00 pm ET,False
2025-2026,0022500039,2025-11-14,New York,Knicks,Miami,Heat,7:00 pm ET,False
2025-2026,0022500042,2025-11-14,Houston,Rockets,Portland,Trail Blazers,8:00 pm ET,False
2025-2026,0022500228,2025-11-15,Cleveland,Cavaliers,Memphis,Grizzlies,5:00 pm ET,False
2025-2026,0022500229,2025-11-15,Charlotte,Hornets,Oklahoma City,Thunder,7:00 pm ET,False
2025-2026,0022500230,2025-11-15,Indiana,Pacers,Toronto,Raptors,7:00 pm ET,False
2025-2026,0022500231,2025-11-15,Milwaukee,Bucks,Los Angeles,Lakers,8:00 pm ET,False
2025-2026,0022500232,2025-11-15,Minnesota,Timberwolves,Denver,Nuggets,8:00 pm ET,False
2025-2026,0022500240,2025-11-16,Utah,Jazz,Chicago,Bulls,8:00 pm ET,False
2025-2026,0022500239,2025-11-16,Phoenix,Suns,Atlanta,Hawks,8:00 pm ET,False
2025-2026,0022500238,2025-11-16,Dallas,Mavericks,Portland,Trail Blazers,7:30 pm ET,False
2025-2026,0022500237,2025-11-16,New Orleans,Pelicans,San Francisco,Warriors,7:00 pm ET,False
2025-2026,0022500233,2025-11-16,Boston,Celtics,LA,Clippers,3:30 pm ET,False
2025-2026,0022500235,2025-11-16,Washington,Wizards,Brooklyn,Nets,6:00 pm ET,False
2025-2026,0022500234,2025-11-16,San Antonio,Spurs,Sacramento,Kings,4:00 pm ET,False
2025-2026,0022500236,2025-11-16,Houston,Rockets,Orlando,Magic,7:00 pm ET,False
2025-2026,0022500246,2025-11-17,Minnesota,Timberwolves,Dallas,Mavericks,8:00 pm ET,False
2025-2026,0022500247,2025-11-17,New Orleans,Pelicans,Oklahoma City,Thunder,8:00 pm ET,False
2025-2026,0022500245,2025-11-17,Toronto,Raptors,Charlotte,Hornets,7:30 pm ET,False
2025-2026,0022500248,2025-11-17,Denver,Nuggets,Chicago,Bulls,9:00 pm ET,False
2025-2026,0022500243,2025-11-17,Philadelphia,76ers,LA,Clippers,7:00 pm ET,False
2025-2026,0022500241,2025-11-17,Cleveland,Cavaliers,Milwaukee,Bucks,7:00 pm ET,False
2025-2026,0022500244,2025-11-17,Miami,Heat,New York,Knicks,7:30 pm ET,False
2025-2026,0022500242,2025-11-17,Detroit,Pistons,Indiana,Pacers,7:00 pm ET,False
2025-2026,0022500249,2025-11-18,Orlando,Magic,San Francisco,Warriors,7:00 pm ET,False
2025-2026,0022500250,2025-11-18,Brooklyn,Nets,Boston,Celtics,7:30 pm ET,False
2025-2026,0022500251,2025-11-18,Atlanta,Hawks,Detroit,Pistons,7:30 pm ET,False
2025-2026,0022500252,2025-11-18,San Antonio,Spurs,Memphis,Grizzlies,8:00 pm ET,False
2025-2026,0022500253,2025-11-18,Los Angeles,Lakers,Utah,Jazz,10:30 pm ET,False
2025-2026,0022500254,2025-11-18,Portland,Trail Blazers,Phoenix,Suns,11:00 pm ET,False
2025-2026,0022500256,2025-11-19,Indiana,Pacers,Charlotte,Hornets,7:00 pm ET,False
2025-2026,0022500263,2025-11-19,Portland,Trail Blazers,Chicago,Bulls,10:00 pm ET,False
2025-2026,0022500262,2025-11-19,Dallas,Mavericks,New York,Knicks,9:30 pm ET,False
2025-2026,0022500261,2025-11-19,Oklahoma City,Thunder,Sacramento,Kings,8:00 pm ET,False
2025-2026,0022500260,2025-11-19,New Orleans,Pelicans,Denver,Nuggets,8:00 pm ET,False
2025-2026,0022500255,2025-11-19,Cleveland,Cavaliers,Houston,Rockets,7:00 pm ET,False
2025-2026,0022500258,2025-11-19,Philadelphia,76ers,Toronto,Raptors,7:00 pm ET,False
2025-2026,0022500257,2025-11-19,Miami,Heat,San Francisco,Warriors,7:00 pm ET,False
2025-2026,0022500259,2025-11-19,Minnesota,Timberwolves,Washington,Wizards,8:00 pm ET,False
2025-2026,0022500266,2025-11-20,Milwaukee,Bucks,Philadelphia,76ers,8:00 pm ET,False
2025-2026,0022500267,2025-11-20,San Antonio,Spurs,Atlanta,Hawks,8:00 pm ET,False
2025-2026,0022500265,2025-11-20,Memphis,Grizzlies,Sacramento,Kings,8:00 pm ET,False
2025-2026,0022500264,2025-11-20,Orlando,Magic,LA,Clippers,7:00 pm ET,False
2025-2026,0022500056,2025-11-21,San Francisco,Warriors,Portland,Trail Blazers,10:00 pm ET,False
2025-2026,0022500054,2025-11-21,Houston,Rockets,Denver,Nuggets,9:30 pm ET,False
2025-2026,0022500053,2025-11-21,Phoenix,Suns,Minnesota,Timberwolves,9:00 pm ET,False
2025-2026,0022500052,2025-11-21,Dallas,Mavericks,New Orleans,Pelicans,8:30 pm ET,False
2025-2026,0022500055,2025-11-21,Utah,Jazz,Oklahoma City,Thunder,10:00 pm ET,False
2025-2026,0022500050,2025-11-21,Toronto,Raptors,Washington,Wizards,7:30 pm ET,False
2025-2026,0022500049,2025-11-21,Boston,Celtics,Brooklyn,Nets,7:30 pm ET,False
